Index,	Free Memory (kB),	Load Avg (1 min),	Load Avg (5 min),	Load Avg (15 min),	Running Processes,	Total Processes,	Time,	Computer Name
192,	679072,	0.21,	0.20,	0.18,	1,	207,	2-13-2018 17:09:25,	raspberrypi
193,	679304,	0.25,	0.21,	0.18,	1,	207,	2-13-2018 17:10:25,	raspberrypi
194,	679240,	0.15,	0.19,	0.18,	2,	207,	2-13-2018 17:11:25,	raspberrypi
195,	679304,	0.21,	0.20,	0.18,	2,	207,	2-13-2018 17:12:25,	raspberrypi
196,	679304,	0.21,	0.19,	0.18,	1,	207,	2-13-2018 17:13:25,	raspberrypi
197,	679436,	0.19,	0.18,	0.18,	1,	206,	2-13-2018 17:14:25,	raspberrypi
198,	679536,	0.19,	0.18,	0.18,	1,	207,	2-13-2018 17:15:25,	raspberrypi
199,	679552,	0.17,	0.18,	0.18,	1,	207,	2-13-2018 17:16:25,	raspberrypi
200,	679296,	0.17,	0.17,	0.18,	1,	207,	2-13-2018 17:17:25,	raspberrypi
201,	679420,	0.16,	0.17,	0.18,	2,	207,	2-13-2018 17:18:26,	raspberrypi
202,	679420,	0.16,	0.17,	0.18,	1,	207,	2-13-2018 17:19:26,	raspberrypi
203,	679552,	0.14,	0.17,	0.18,	2,	206,	2-13-2018 17:20:26,	raspberrypi
204,	679032,	0.15,	0.16,	0.18,	2,	207,	2-13-2018 17:21:26,	raspberrypi
205,	679048,	0.13,	0.16,	0.18,	1,	207,	2-13-2018 17:22:26,	raspberrypi
206,	679156,	0.22,	0.18,	0.18,	2,	207,	2-13-2018 17:23:26,	raspberrypi
207,	679172,	0.19,	0.17,	0.18,	2,	207,	2-13-2018 17:24:26,	raspberrypi
208,	679296,	0.22,	0.19,	0.18,	2,	207,	2-13-2018 17:25:26,	raspberrypi
209,	679304,	0.27,	0.20,	0.19,	2,	206,	2-13-2018 17:26:26,	raspberrypi
210,	679296,	0.21,	0.19,	0.18,	1,	207,	2-13-2018 17:27:26,	raspberrypi
211,	679164,	0.24,	0.20,	0.18,	2,	207,	2-13-2018 17:28:26,	raspberrypi
212,	679148,	0.19,	0.19,	0.18,	2,	207,	2-13-2018 17:29:26,	raspberrypi
213,	679288,	0.22,	0.20,	0.18,	1,	207,	2-13-2018 17:30:26,	raspberrypi
214,	679164,	0.18,	0.19,	0.18,	1,	207,	2-13-2018 17:31:26,	raspberrypi
215,	679296,	0.21,	0.20,	0.18,	1,	206,	2-13-2018 17:32:26,	raspberrypi
216,	678776,	0.24,	0.21,	0.18,	2,	207,	2-13-2018 17:33:26,	raspberrypi
217,	678776,	0.19,	0.20,	0.18,	2,	207,	2-13-2018 17:34:26,	raspberrypi
218,	678776,	0.22,	0.21,	0.18,	1,	207,	2-13-2018 17:35:26,	raspberrypi
219,	678776,	0.25,	0.22,	0.19,	2,	207,	2-13-2018 17:36:26,	raspberrypi
220,	678668,	0.20,	0.20,	0.18,	2,	207,	2-13-2018 17:37:26,	raspberrypi
221,	678660,	0.23,	0.21,	0.18,	1,	206,	2-13-2018 17:38:26,	raspberrypi
222,	677908,	0.19,	0.20,	0.18,	1,	207,	2-13-2018 17:39:26,	raspberrypi
223,	677596,	0.21,	0.21,	0.18,	1,	209,	2-13-2018 17:40:26,	raspberrypi
224,	678404,	0.17,	0.20,	0.18,	2,	207,	2-13-2018 17:41:26,	raspberrypi
225,	678528,	0.20,	0.20,	0.18,	2,	207,	2-13-2018 17:42:26,	raspberrypi
226,	678528,	0.28,	0.23,	0.19,	2,	207,	2-13-2018 17:43:26,	raspberrypi
227,	678520,	0.20,	0.21,	0.18,	2,	206,	2-13-2018 17:44:26,	raspberrypi
228,	678512,	0.24,	0.22,	0.18,	2,	207,	2-13-2018 17:45:26,	raspberrypi
229,	678404,	0.15,	0.20,	0.18,	2,	207,	2-13-2018 17:46:26,	raspberrypi
230,	678396,	0.21,	0.20,	0.18,	2,	207,	2-13-2018 17:47:26,	raspberrypi
231,	678396,	0.21,	0.20,	0.18,	2,	207,	2-13-2018 17:48:26,	raspberrypi
232,	678396,	0.19,	0.19,	0.18,	1,	207,	2-13-2018 17:49:26,	raspberrypi
233,	678156,	0.19,	0.18,	0.18,	2,	206,	2-13-2018 17:50:26,	raspberrypi
234,	678272,	0.17,	0.18,	0.18,	1,	207,	2-13-2018 17:51:26,	raspberrypi
235,	678148,	0.17,	0.18,	0.18,	1,	207,	2-13-2018 17:52:26,	raspberrypi
236,	678132,	0.16,	0.17,	0.18,	1,	207,	2-13-2018 17:53:26,	raspberrypi
237,	678256,	0.16,	0.17,	0.18,	1,	207,	2-13-2018 17:54:26,	raspberrypi
238,	678256,	0.14,	0.17,	0.18,	1,	207,	2-13-2018 17:55:26,	raspberrypi
239,	678156,	0.15,	0.16,	0.18,	1,	206,	2-13-2018 17:56:26,	raspberrypi
240,	678156,	0.13,	0.16,	0.18,	2,	206,	2-13-2018 17:57:26,	raspberrypi
241,	678148,	0.22,	0.18,	0.18,	2,	207,	2-13-2018 17:58:26,	raspberrypi
242,	678024,	0.19,	0.18,	0.18,	1,	206,	2-13-2018 17:59:26,	raspberrypi
243,	678024,	0.27,	0.20,	0.19,	1,	207,	2-13-2018 18:00:26,	raspberrypi
244,	678024,	0.28,	0.21,	0.19,	1,	207,	2-13-2018 18:01:26,	raspberrypi
245,	678024,	0.21,	0.20,	0.18,	1,	207,	2-13-2018 18:02:26,	raspberrypi
246,	678032,	0.25,	0.21,	0.18,	1,	206,	2-13-2018 18:03:26,	raspberrypi
247,	677900,	0.19,	0.20,	0.18,	1,	207,	2-13-2018 18:04:26,	raspberrypi
248,	677628,	0.22,	0.21,	0.18,	1,	207,	2-13-2018 18:05:26,	raspberrypi
249,	677520,	0.21,	0.21,	0.18,	1,	207,	2-13-2018 18:06:26,	raspberrypi
250,	677644,	0.22,	0.22,	0.18,	1,	207,	2-13-2018 18:07:26,	raspberrypi
